recordID_segID,label
rec_15_11,bckg
rec_15_12,bckg
rec_15_13,bckg
rec_15_14,bckg
rec_15_15,bckg
rec_15_16,bckg
rec_15_17,bckg
rec_15_18,bckg
rec_15_19,seizure
rec_16_0,bckg
rec_16_1,bckg
rec_16_2,seizure
rec_16_3,bckg
rec_16_4,bckg
rec_16_5,bckg
rec_16_6,bckg
rec_16_7,bckg
rec_16_8,bckg
rec_16_9,bckg
rec_16_10,seizure
rec_16_11,bckg
rec_16_12,bckg
rec_16_13,bckg
rec_16_14,bckg
rec_16_15,seizure
rec_16_16,bckg
rec_16_17,bckg
rec_16_18,bckg
rec_16_19,bckg
rec_17_0,bckg
rec_17_1,bckg
rec_17_2,bckg
rec_17_3,bckg
rec_17_4,bckg
rec_17_5,bckg
rec_17_6,bckg
rec_17_7,bckg
rec_17_8,bckg
rec_17_9,seizure
rec_17_10,seizure
rec_17_11,bckg
rec_17_12,bckg
rec_17_13,bckg
rec_17_14,bckg
rec_17_15,bckg
rec_17_16,bckg
rec_17_17,seizure
rec_17_18,bckg
rec_17_19,bckg
rec_18_0,bckg
rec_18_1,bckg
rec_18_2,bckg
rec_18_3,bckg
rec_18_4,bckg
rec_18_5,bckg
rec_18_6,bckg
rec_18_7,bckg
rec_18_8,seizure
rec_18_9,bckg
rec_18_10,bckg
rec_18_11,bckg
rec_18_12,bckg
rec_18_13,bckg
rec_18_14,bckg
rec_18_15,bckg
rec_18_16,bckg
rec_18_17,bckg
rec_18_18,bckg
rec_18_19,bckg
rec_19_0,bckg
rec_19_1,bckg
rec_19_2,seizure
rec_19_3,bckg
rec_19_4,seizure
rec_19_5,bckg
rec_19_6,bckg
rec_19_7,bckg
rec_19_8,bckg
rec_19_9,bckg
rec_19_10,bckg
rec_19_11,bckg
rec_19_12,bckg
rec_19_13,seizure
rec_19_14,bckg
rec_19_15,bckg
rec_19_16,bckg
rec_19_17,bckg
rec_19_18,bckg
rec_19_19,bckg
rec_20_0,bckg
rec_20_1,seizure
rec_20_2,bckg
rec_20_3,bckg
rec_20_4,bckg
rec_20_5,seizure
rec_20_6,bckg
rec_20_7,bckg
rec_20_8,bckg
rec_20_9,bckg
rec_20_10,seizure
rec_20_11,bckg
rec_20_12,seizure
rec_20_13,bckg
rec_20_14,seizure
rec_20_15,bckg
rec_20_16,bckg
rec_20_17,seizure
rec_20_18,bckg
rec_20_19,bckg
rec_21_0,bckg
rec_21_1,bckg
rec_21_2,bckg
rec_21_3,bckg
rec_21_4,bckg
rec_21_5,bckg
rec_21_6,bckg
rec_21_7,bckg
rec_21_8,bckg
rec_21_9,bckg
rec_21_10,bckg
rec_21_11,bckg
rec_21_12,bckg
rec_21_13,bckg
rec_21_14,bckg
rec_21_15,bckg
rec_21_16,bckg
rec_21_17,bckg
rec_21_18,bckg
rec_21_19,bckg
rec_22_0,bckg
rec_22_1,bckg
rec_22_2,seizure
rec_22_3,bckg
rec_22_4,bckg
rec_22_5,bckg
rec_22_6,bckg
rec_22_7,bckg
rec_22_8,bckg
rec_22_9,bckg
rec_22_10,bckg
rec_22_11,bckg
rec_22_12,bckg
rec_22_13,bckg
rec_22_14,bckg
rec_22_15,bckg
rec_22_16,seizure
rec_22_17,bckg
rec_22_18,bckg
rec_22_19,seizure
rec_23_0,seizure
rec_23_1,bckg
rec_23_2,bckg
rec_23_3,bckg
rec_23_4,bckg
rec_23_5,bckg
rec_23_6,bckg
rec_23_7,bckg
rec_23_8,bckg
rec_23_9,bckg
rec_23_10,bckg
rec_23_11,bckg
rec_23_12,bckg
rec_23_13,bckg
rec_23_14,bckg
rec_23_15,bckg
rec_23_16,bckg
rec_23_17,bckg
rec_23_18,bckg
rec_23_19,bckg
rec_24_0,bckg
rec_24_1,bckg
rec_24_2,bckg
rec_24_3,bckg
rec_24_4,bckg
rec_24_5,bckg
rec_24_6,bckg
rec_24_7,bckg
rec_24_8,bckg
rec_24_9,bckg
rec_24_10,bckg
rec_24_11,bckg
rec_24_12,bckg
rec_24_13,bckg
rec_24_14,bckg
rec_24_15,bckg
rec_24_16,bckg
rec_24_17,seizure
rec_24_18,bckg
rec_24_19,bckg
